From Date,Latitude,Longitude,PM2.5,PM10,NO2,Temp,RH
01/08/2018,28.5504,77.2182,100.1,222.61,65.83,29.93,36.23
02/08/2018,28.5504,77.2182,52.31,304.11,53.78,31.17,34.99
03/08/2018,28.5504,77.2182,48.49,276.76,69.31,30.8,34.9
04/08/2018,28.5504,77.2182,53.56,294.35,54.15,30.87,35.02
05/08/2018,28.5504,77.2182,53.28,254.25,39.14,29.02,35.01
06/08/2018,28.5504,77.2182,50.44,148.48,56.68,27.26,34.95
07/08/2018,28.5504,77.2182,39.78,108.63,54.69,27.45,34.69
08/08/2018,28.5504,77.2182,144.03,72.24,43.07,28.7,37.39
09/08/2018,28.5504,77.2182,31.88,142.31,55.06,32.11,34.33
10/08/2018,28.5504,77.2182,50.76,126.41,37.84627950310558,30.17,37.4
11/08/2018,28.5504,77.2182,96.5575810055866,221.4364006696429,37.84627950310558,24.31799208144796,57.61507588532884
12/08/2018,28.5504,77.2182,96.5575810055866,221.4364006696429,37.84627950310558,24.31799208144796,57.61507588532884
13/08/2018,28.5504,77.2182,15.46,152.15,73.49,31.18,41.56
14/08/2018,28.5504,77.2182,40.34,162.79,63.93,30.95,36.57
15/08/2018,28.5504,77.2182,36.44,123.56,44.29,30.35,35.1
16/08/2018,28.5504,77.2182,25.66,90.2,59.86,29.47,34.34
17/08/2018,28.5504,77.2182,25.51,86.77,53.4,30.87,34.33
18/08/2018,28.5504,77.2182,24.98,80.05,50.51,29.59,38.45
19/08/2018,28.5504,77.2182,96.5575810055866,221.4364006696429,37.84627950310558,24.31799208144796,57.61507588532884
20/08/2018,28.5504,77.2182,24.8,136.88,46.45,29.09,34.99
21/08/2018,28.5504,77.2182,29.63,116.31,41.15,29.8,39.64
22/08/2018,28.5504,77.2182,96.5575810055866,221.4364006696429,37.84627950310558,24.31799208144796,57.61507588532884
23/08/2018,28.5504,77.2182,40.38,102.33,48.2,24.31799208144796,33.7
24/08/2018,28.5504,77.2182,16.3,86.32,38.28,24.31799208144796,33.7
25/08/2018,28.5504,77.2182,13.72,103.54,37.84627950310558,24.31799208144796,33.7
26/08/2018,28.5504,77.2182,17.12,97.15,37.84627950310558,24.31799208144796,33.7
27/08/2018,28.5504,77.2182,17.53,62.78,58.02,28.97,34.01
28/08/2018,28.5504,77.2182,25.49,61.58,55.35,27.22,34.69
29/08/2018,28.5504,77.2182,69.23,47.12,77.61,27.68,35.55
30/08/2018,28.5504,77.2182,34.36,113.54,99.18,29.63,35.61
